release_date,title,prod_budget,domestic_gross,worldwide_gross,start_year,runtime_mins,genre,average_rating,num_votes
2011-03-11,Mars Needs Moms,150000000,21392758,39549758,2011,88.0,"Adventure,Animation,Family",5.4,19823
2012-06-08,Madagascar 3: Europe's Most Wanted,145000000,216391482,746921271,2012,93.0,"Adventure,Animation,Comedy",6.8,146858
2014-06-13,How to Train Your Dragon 2,145000000,177002924,614586270,2014,102.0,"Action,Adventure,Animation",7.8,278205
1999-06-16,Tarzan,145000000,171091819,448191819,2013,94.0,"Adventure,Animation,Drama",4.8,11728
2014-03-07,Mr. Peabody & Sherman,145000000,111506430,269806430,2014,92.0,"Adventure,Animation,Comedy",6.8,57277
2012-11-21,Rise of the Guardians,145000000,103412758,306900902,2012,97.0,"Action,Adventure,Animation",7.3,145281
2005-04-08,Sahara,145000000,68671925,121671925,2017,86.0,"Adventure,Animation,Comedy",5.6,1943
2016-07-15,Ghostbusters,144000000,128350574,229008658,2016,116.0,"Action,Comedy,Fantasy",5.2,186788
2011-07-22,Captain America: The First Avenger,140000000,176654505,370569776,2011,124.0,"Action,Adventure,Sci-Fi",6.9,668137
2016-01-29,Kung Fu Panda 3,140000000,143528619,517599142,2016,95.0,"Action,Adventure,Animation",7.1,116166
2013-03-27,G.I. Joe: Retaliation,140000000,122523060,375740705,2013,110.0,"Action,Adventure,Sci-Fi",5.8,165536
2014-12-12,Exodus: Gods and Kings,140000000,65014513,268314513,2014,150.0,"Action,Adventure,Drama",6.0,150858
2016-07-01,The BFG,140000000,55483770,199646680,2016,117.0,"Adventure,Family,Fantasy",6.4,69340
2016-02-26,Gods of Egypt,140000000,31153464,138836756,2016,127.0,"Action,Adventure,Fantasy",5.4,95111
2013-03-22,The Croods,135000000,187168425,573068425,2013,98.0,"Action,Adventure,Animation",7.2,176699
2015-12-25,The Revenant,135000000,183637894,532938302,2012,80.0,Horror,6.0,20
2011-03-04,Rango,135000000,123477607,245724600,2011,107.0,"Adventure,Animation,Comedy",7.2,215761
2013-07-17,Turbo,135000000,83028130,286896578,2013,96.0,"Adventure,Animation,Comedy",6.4,74639
2016-06-03,Teenage Mutant Ninja Turtles: Out of the Shadows,135000000,82051601,245328374,2016,112.0,"Action,Adventure,Comedy",6.0,77234
2011-11-18,Happy Feet Two,135000000,64006466,157956466,2011,100.0,"Adventure,Animation,Comedy",5.9,38396
2018-11-02,The Nutcracker and the Four Realms,132900000,54858851,170293899,2018,99.0,"Adventure,Family,Fantasy",5.5,18734
2005-06-29,War of the Worlds,132000000,234280354,606836535,2013,50.0,Sci-Fi,5.8,11
2014-11-26,Penguins of Madagascar,132000000,83350911,366942531,2014,92.0,"Adventure,Animation,Comedy",6.7,72551
2013-11-22,The Hunger Games: Catching Fire,130000000,424668047,864868047,2013,146.0,"Action,Adventure,Sci-Fi",7.5,575455
2018-07-06,Ant-Man and the Wasp,130000000,216648740,623144660,2018,118.0,"Action,Adventure,Comedy",7.1,244024
2015-07-17,Ant-Man,130000000,180202163,518858449,2015,117.0,"Action,Adventure,Comedy",7.3,501213
2015-03-27,Home,130000000,177397510,385997896,2013,112.0,Drama,7.0,140
2018-12-19,Mary Poppins Returns,130000000,171958438,341528518,2018,130.0,"Comedy,Family,Fantasy",6.9,52103
2011-10-28,Puss in Boots,130000000,149260504,554987477,2011,90.0,"Action,Adventure,Animation",6.6,133355
2010-11-05,Megamind,130000000,148415853,321887208,2010,95.0,"Action,Animation,Comedy",7.3,207488
2014-04-11,Rio 2,130000000,131538435,492846291,2014,101.0,"Adventure,Animation,Comedy",6.3,72209
2010-07-23,Salt,130000000,118311368,290650494,2010,100.0,"Action,Mystery,Thriller",6.4,277204
2014-03-28,Noah,130000000,101200044,352831065,2011,105.0,"Drama,Thriller",6.5,12
2011-12-21,The Adventures of Tintin,130000000,77591831,373993951,2011,107.0,"Action,Adventure,Animation",7.3,202430
